Region,BEIS School ID,School.Name,Division,Legislative.District,Province,City or Municipality,Barangay,Latitude,Longitude, Kinder , Grade 1 , Grade 2 , Grade 3 , Grade 4 , Grade 5 , Grade 6 , Grade 7 , Grade 8 , Grade 9 , Grade 10 , Grade 11 , Grade 12 , Total Seats 
Region V,436534,"MISSIONARIES OF THE POOR, INC.",Naga City,3rd district ,Province of Camarines Sur ,City of Naga,Barangay Cararayan,13.63152,123.23192,50, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,50
Region VII,449036,Ralph M. Baladjay Sr. (RMB) The Baptist Institute,Mandaue City,North,Province of Cebu,Municipality of Mandaue,Labogon,10.35187,123.9536,30,20,15,10,10,10,10,15,13,11,13,3,2,162
Region V,410282,"Compassionate Franciscan Sisters of the Poor, Inc.",Naga City,Lone District,Province of Cam Sur,NAGA CITY,Barangay Pacol,13.64981,123.22738,15,14, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,29
Region V,403772,Sacro Costato School,Masbate City,MASBATE SOUTH DISTRICT 1 ,MASBATE ,CITY OF MASBATE ,CAGBA,12.358383,123.623775,20,35,35,35,30,30,30, -   , -   , -   , -   , -   , -   ,215
Region V,490502,Yadah Christian School Inc.,Masbate City,Second District,Province of Masbate,City of Masbate ,Barangay Centro,12.366638,123.623413,39,28,28,31,30,26,18,9,3,4, -   , -   , -   ,216
Region IV-A (CALABARZON),402473,Hosanna Technological School of Arts and Sciences Inc.,Cabuyao City,2nd Dostrict,Province of Laguna,City of Cabuyao,Barangay Butong,14.2834985,131.1393325,18,10,24,14,22,12,13,16,14,13,10, -   , -   ,166
Region IV-A (CALABARZON),402464,Cabuyao Nursery School & Child Center,Cabuyao City,Second Distri,Province of Laguna ,City of Cabuyao ,Barangay Bigaa,14.285657,121.128937,15,10,10,10,10,10,10, -   , -   , -   , -   , -   , -   ,75
Region IV-A (CALABARZON),411112,"CARD-MRI DEVELOPMENT INSTITUTE, INC.",San Pablo City,3rd District,Province of Laguna,City of San Pablo,Barangay VII-A,14.0712535,121.3227162, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,850,150,"1,000"
Region IV-A (CALABARZON),402158,"CARD-MRI Development Institute, Inc.",Laguna,2nd District,Province of Laguna,Municipality of Bay,Barangay Tranca,14.1298528,121.2509947, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,450,450,900
Region VII,449043,"M. Zed Christian School, Inc.",Mandaue City,Lone District,Province of Cebu,City of Mandaue,Barangay Ibabao Estancia ,10.334331,123.945008,10,10,10,10,10,10,10, -   , -   , -   , -   , -   , -   ,70
Region IV-A (CALABARZON),407813,Barnabas Christian and Theological College Inc.,Laguna,3rd District ,Province of Laguna,Municipality of Nagcarlan ,Barangay Maravilla ,14.1730047,121.3793661,25,20,20,15,15,10,10, -   , -   , -   , -   , -   , -   ,115
Region IV-A (CALABARZON),402529,Liceo de Los Baños,Laguna,Second,Laguna,Los Banos,Timugan,14.17913,121.0207,25,30,30,30,30,35,35,130,140,140,45,500,500,"1,670"
Region IV-A (CALABARZON),402582,Covenant Christian Academy of Rizal Laguna Inc.,Laguna,district 3,Laguna,Municipality of Rizal Laguna,Barangay East Poblacion ,14.11006471,121.3948297,26,19,16,15,21,15,16, -   , -   , -   , -   , -   , -   ,128
Region IV-A (CALABARZON),424620,Deaf Evangelistic Alliance Foundation Inc..,Laguna, 4th district ,Laguna ,Municipality of Cavinti ,Barangay Paowin,1457929,12106494, -   ,4,3,3, -   , -   , -   , -   , -   , -   , -   , -   , -   ,10
Region IV-A (CALABARZON),402509,The Refiner's Christian School,Laguna,District 3,Laguna,Calauan,Kanluran,14.14545946,121.3144077,25,25,25,20,25,25,30,50,35,50,50,50,40,450
Region IV-A (CALABARZON),424509,Gateway Learning Center Corp.,Laguna,2nd Distric,Laguna,Los Baños,Anos,14.179153,121.229629,15,10,10,10,10,10,10, -   , -   , -   , -   , -   , -   ,75
Region IV-A (CALABARZON),402534,"Montessori Children's House of Los Baños, Inc.",Laguna,Los Banos,Laguna,Los Banos,Batong Malake,14.17616,12.124089,20, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
Region IV-A (CALABARZON),411007,CITI GLOBAL COLLEGE INC.,Laguna,2nd congressional district,Laguna,Bay,San Agustin,14.1814495,121.2836438, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,338,385,723
Region IV-A (CALABARZON),401620,"Nasugbu Christian Faith Academy, Inc.",Batangas,District 1,Province of Batangas,Municipality of Nasugbu ,Barangay IV,14.0724404,120.6348519,40,30,30,30,30,25,30,40,40,25,40, -   , -   ,360
Region IV-A (CALABARZON),424613,"St. Lucy Filipini Montessori School, Inc.",Laguna,lumban,laguna,lumban,bagong silang,14.2937,121.4624,27,35,26,27,40,32,31,23,35,27,9, -   , -   ,312
Region IV-A (CALABARZON),409746,SAINT JAMES CHRISTIAN LEARNING CENTER CORP.,Laguna,2nd District ,Province of Laguna,Municipality of Bay,Barangay San Antonio,141129.9,1211655,19,8,24,12,8,13,12, -   , -   , -   , -   , -   , -   ,96
Region IV-A (CALABARZON),401584,"Fieldridge Learning Center, Inc.",Batangas,Cuenca,Province of Batangas,Municipality of Cuenca,Barangay San Felipe,13.8872229,121.0396385,30,30,25,25,25,20,20,20,15, -   , -   , -   , -   ,210
Region IV-A (CALABARZON),402556,Liceo de Majayjay,Laguna,4th,Province of Laguna ,Municipality of Majayjay ,Barangay Santa Catalina ,14.1466,121.4715,20,15,15,15,20,15,20,40,35,45,45,70,65,420
Region IV-A (CALABARZON),408583,"JC Infinity Developmental School, Inc.",Laguna,District 2,Province of Laguna,Municipality of Los Banos,Barangay Mayondon,14.18783,121.23929,20,15,15,15,15,15,15, -   , -   , -   , -   , -   , -   ,110
Region IV-A (CALABARZON),423530,"Casamarra School of Learning, Inc.",Batangas,CD1,Province of Batangas,Tuy,Barangay Putol,13.994,120.727,25,25,25,25,25,25,25, -   , -   , -   , -   , -   , -   ,175
Region IV-A (CALABARZON),401646,Saint Joseph Academy,Batangas,Congressional District ,Province of Batangas ,Municipality of San Jose ,Barangay Poblacion IV,13.8831,121.0908, -   , -   , -   , -   , -   , -   , -   ,300,250,200,200,200,200,"1,350"
Region IV-A (CALABARZON),402653,Saint Therese Martin of Lisieux School & Business HS,Laguna,Fourth District,Province of Laguna,Municipality of Santa Cruz,Barangay Sto. Angel Central,14.2837025,121.4113645,25,25,25,25,25,25,25,30,30,30,30,30,30,355
Region IV-A (CALABARZON),424631,Maranatha Christian Academy of Calauan Inc.,Laguna,3rd District,Province of Laguna,Calauan,Masiit,14.1517099,121.311531,27,18,13,16,17,13,14,15,13,8,8, -   , -   ,162
Region IV-A (CALABARZON),411238,BRIGHT SIDE GLOBAL LEARNING CENTER,Laguna,Santa Cruz,Province of Laguna,Municipality of Santa Cruz,Barangay Bagumbayan,14.2702826,121.3995377,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,25
Region IV-A (CALABARZON),409739,"E. ZOBEL FOUNDATION, INC.",Batangas,1st Legislative District of Batangas,Province of Batangas,Municipality of Calatagan,Barangay Gulod,13.8723,120.63543, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,500,500,"1,000"
Region IV-A (CALABARZON),402516,Liceo de Liliw,Laguna,Liliw,-,"Municipality of Liliw, Laguna",Barangay Pag Asa,121.06495,14.57929,35,26,25,21,23,25,21,26,30,42,46,24,38,382
Region IV-A (CALABARZON),424592,Living Hope Learning School,Laguna,3rd District,Province of Laguna,Municipality of Nagcarlan,Barangay (Poblacion) 2,14.1331,121.414451,30,10,10,10,10,10,10, -   , -   , -   , -   , -   , -   ,90
Region IV-A (CALABARZON),408581,"Ananda Marga Pracaraka Samgha In Maharlika, Inc.",Laguna,3rd,Province of Laguna,Municipality of Nagcarlan,"51 Brgy.Wakat Nagcarlan,Laguna",14.171817,121.3535115,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,25
Region IV-A (CALABARZON),423543,Teodoro M. Luansing College of Rosario,Batangas,Rosario West District,Batangas,Rosario,Namunga,1457929,12106494, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,120,120,240
Region IV-A (CALABARZON),402571,Liceo de Pakil,Laguna,4th District,Province of Laguna,Municipality of Pakil,Barangay Burgos,14.379691,121.477321,15,15,20,20,20,15,20,100,100,100,100,80,35,640
Region IV-A (CALABARZON),424535,"San Agustin Learning Center of Bay, Inc.",Laguna,Bay,Laguna,Bay,San Nicolas,14.18291,121.282917,16,8,8,8, -   , -   , -   , -   , -   , -   , -   , -   , -   ,40
Region IV-A (CALABARZON),494036,"Prairie Rose Academy for Youngsters, Inc.",Antipolo City,Phase 1,Rizal,Antipolo City,San Isidro,14.61783038,121.1835731,15, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,15
Region V,403692,United High School Incorporated,Camarines Sur,4th District,Camarines Sur,Caramoan,Solnopan,13.769139,123.860893, -   , -   , -   , -   , -   , -   , -   ,70,40,45,45,80,70,350
Region IV-A (CALABARZON),402568,Liceo de Pagsanjan,Laguna,4th District ,Laguna ,Pagsanjan ,Poblacion ,14,15,16,17,17,26,29,29,8,200,200,90,84,20,16,752
Region IV-A (CALABARZON),402579,South Greenville School,Laguna,4th District ,Province of Laguna,Municipality of Pila,Barangay Bagong pook,14.24653896,121.3730735,21,18,24,22,24,18,12,22,15,22,11,40,44,293
Region V,403739,Omon SDA Multigrade School Inc.,Camarines Sur,First,Camarines Sur,Ragay,Upper Omon,14.57929,12106494, -   ,10,6,6,12,7,9, -   , -   , -   , -   , -   , -   ,50
Region V,410402,"Moreh Asia Pacific Academy, Inc.",Camarines Sur,5th District,Province of Camarines Sur,Municipality of Nabua,Barangay Paloyon Proper,13.36980943,123.3725924, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,80,80,160
Region IV-A (CALABARZON),409414,THE IRRI SCHOOL,Laguna,Los Banos,Laguna,Los Banos,Maahas,14.170536,121.255839,15,15,15, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,45
Region IV-A (CALABARZON),407423,Universal Scholastic Academe,Batangas,1st District,Province of Batangas,Municipality of Lemery,"Barangay Sinisian East, Lemery, Batangas",13.910724,120.856828,40,40,40,40,40,40,40,40,40,40,40,200,200,840
Region IV-A (CALABARZON),424544,Bible Baptist School of Excellence & Development,Cabuyao City,2nd District,Laguna,City of Cabuyao,Barangay Sala,14.27332,121.12328,5,5,5,5,5,5,5,5,5,5,5, -   , -   ,55
Region IV-A (CALABARZON),410115,"LYCEUM OF SOUTHERN LUZON, INC.",Batangas,District I,Province of Batangas,Municipality of Balayan,Barangay Lanatan,13.9576,120.7279, -   , -   , -   , -   , -   , -   , -   ,11,4,13,16,52,38,134
Region IV-A (CALABARZON),409891,Paete Science and Business College Inc.,Laguna,4th District ,Laguna ,Pagsanjan,Poblacion II ,14.272653,121.455089,25,25,25,25,25,25,25,30,30,30,30,245,210,750
Region IV-A (CALABARZON),407730,ROSE ENCHANTED GARDEN SCHOOL INC.,Laguna,Lone District,Laguna,Santa Cruz,Pagsawitan,14.266501,121.426521,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10
Region IV-A (CALABARZON),402971,"WILL School of Antipolo, Inc.",Antipolo City,Upper District,Province of Rizal,City of Antipolo,Barangay San Roque,14.58361,121.17152,40,25,25,25,30,30,30,30,30,30,30, -   , -   ,325
Region IV-A (CALABARZON),402892,"Hillcrest School, Inc.",Antipolo City,District 1,Province of Rizal,City of Antipolo,Barangay Bagong Nayon,14.62592,121.17087,70,78,62,64,59,58,60,63,69,59,66,49,77,834
Region V,411105,"NEW HORIZON INTEGRATED ACADEMY FOUNDATION, INC.",Naga City,3rd District,Province of Camarines Sur,City of Naga,Barangay Concepcion Pequeña,13.622097,123.194965,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6
Region VII,447103,"Little Fountain of Knowledge School, Inc.",Cebu,District 1,Province of Cebu,Municipality of San Fernando,Barangay San Isidro,10.1019,123.4256,11,8,6,2, -   ,3,4, -   , -   , -   , -   , -   , -   ,34
Region IV-A (CALABARZON),423530,"Casamarra School of Learning, Inc.",Batangas,CD1,Province of Batangas,Tuy,Barangay Putol,13.994,120.727,25,25,25,25,25,25,25, -   , -   , -   , -   , -   , -   ,175
Region V,403680,"Buhi Southeastern Academy,Inc.",Camarines Sur,5TH DISTRICT,PROVINCE OF CAMARININES SUR,MUNICIPALITY OF BUHI,BARANGAY SAN VICENTE,13.365287,123.527628,20,10,20,10,20,10,15,20,20,15,20, -   , -   ,180
Region IV-A (CALABARZON),424673,CRESMAT LEARNING CENTER,Laguna,3,LAGUNA,ALAMINOS,BARANGAY 1,14.57929,121.06494,60,30,30,30,20,30,30, -   , -   , -   , -   , -   , -   ,230
Region V,410342,Rovalie Learning Center,Camarines Sur,3rd ,Province of Camarines Sur,Municipality of  Camaligan,Barangay Marupit,13.6283183,123.1699619,30,20,25,15,15,10,15, -   , -   , -   , -   , -   , -   ,130
Region IV-A (CALABARZON),408118,"Maranatha Christian Academy of Ibaan, Batangas Inc.",Batangas,4th District,Province of Batangas,Municipality of Ibaan,Barangay Talaibon,13.83596,121.138716,10,12,6,6,6,6,4, -   , -   , -   , -   , -   , -   ,50
Region V,403685,"Buhi St. Joseph's Academy, Inc.",Camarines Sur,5th District,Province of Camrines Sur,Minicipality of Buhi,Barangay San Pedro,13.2605,123.31, -   , -   , -   , -   , -   , -   , -   ,166,160,160,160,160,200,"1,006"
Region VII,447124,"Our Lady of Fatima Learning Academy of Minglanilla, Inc.",Cebu,1st Congressional District,Province of Cebu,City of Minglanilla,Barangay Tungkop,10.24325,123.78359,40,15,15,15,20,20,20,30,15,10,10, -   , -   ,210
Region VII,410325,Berea Academy for Holistic Education Inc.,Cebu,Mingalnilla 2,Cebu,Mingalnilla ,Tungkil ,10.248552,123.7961275,50,50,50,30,30,30,30,50,30, -   , -   , -   , -   ,350
Region IV-A (CALABARZON),401554,"Alitagtag College, Inc.",Batangas,Third,Batangas,Alitagtag,Poblacion West,13.86606,121.00515,25, -   , -   , -   , -   , -   , -   ,130,80,80,80,130,120,645
Region V,403743,Ragay SDA Multigrade School Inc.,Camarines Sur,Ragay District 1,Province of Camarines Sur,Munisipality of Ragay,Barangay Lower Sta. Cruz,6.1,68,11,15,17,19,16,13,2, -   , -   , -   , -   , -   , -   ,93
Region IV-A (CALABARZON),410923,"LYCEUM OF SOUTHERN LUZON, INC.",Batangas,Batangas Congressional 2nd District,Province of Batangas,Municipality of San Luis,Barangay Tejero,13.85698,120.92438, -   , -   , -   , -   , -   , -   , -   ,40,40,40,20,40,40,220
Region IV-A (CALABARZON),410577,"Saint Jude The Apostle Integrated School Inc.,",Antipolo City,1st district,Province of Rizal,Antipolo City,Barangay Mayamot,14.6293412,121.120724,10,10,10,10,10,10,10,10,10,10,10, -   , -   ,110
Region IV-A (CALABARZON),410903,R. CONCEPCION MONTESSORI SCHOOL-LEMERY INC.,Batangas,Lemery District ,Province of Batangas ,Municipality of Lemery ,Barangay 81,13.87637,120.91446, -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,76,123,201
Region V,410271,"Genova Technological Institute, Inc.",Camarines Sur,District II,Camarines Sur,Libmanan,Ibid,13.713333,123.097778, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,90,90,180
Region IV-A (CALABARZON),402705,Liceo de Victoria,Laguna,4th Congressional District of Laguna,Province of Laguna,Municipality of Victoria ,Brgy. Nanhaya,14.23,121.33, -   ,11,6,14,6,12,9,87,88,62,61,223,36,615
Region VII,409366,"Hope and Voice Child Enhancement Center, Inc.",Cebu,Seventh,Province of Cebu,Municipality of Dumanjug,Barangay Ilaya,10.0551769,123.4380594,60,30,30,30,30,30,30,30,30,30,30, -   , -   ,360
Region IV-A (CALABARZON),401598,Saint Anne Academy,Batangas,1,Batangas,Lian,Barangay Binubusan,13.960012,120.635219, -   , -   , -   , -   , -   , -   , -   ,150,150,150,150,500,500,"1,600"
Region VII,410211,2K Learning Center Incorporated,Toledo City,3rd District,Province of Cebu,City of Toledo,Barangay Juan Climaco Sr.,10.35048,123.66656,20,15,15,15,15,15,15,15,15,15,15,20,20,210
Region V,409817,"MRDA Academic Center, Inc.",Camarines Sur,CALABANGA,CAMARINES SUR ,CALABANGA ,SAN ISIDRO ,13.704941,123.214842,40,40,40,40,40,40,40,100,100,100,100,400,400,"1,480"
Region IV-A (CALABARZON),402955,Sñra. Dela Paz Academy,Antipolo City,1,Province of Rizal,Municipality of Antipolo,Barangay San Isidro,14.590528,121.186775,16,19,24,30,27,25,21, -   , -   , -   , -   , -   , -   ,162
Region V,433545,King Thomas Learning Academy Inc.,Camarines Sur,FIRST DISTRICT,CAMARINES SUR,SIPOCOT,MALUBAGO,13.76923779,122.9867355,29,32,23,25,27,18,22,145,128,81,100,461,514,"1,605"
Region IV-A (CALABARZON),402905,Lady of the Rosary School,Antipolo City,2nd District,Province of Rizal,City of Antipolo,Barangay San Roque,14.578021,121.174924,19,24,17,17,21,25,22, -   , -   , -   , -   , -   , -   ,145
Region IV-A (CALABARZON),401603,Santa Teresa College,Batangas,Second District,Batnagas,Bauan,Poblacion 2,13.78966,121.00747,60,80,60,60,60,80,60,250,200,170,150,200,180,"1,610"
Region IV-A (CALABARZON),402032,Lemery Colleges,Batangas,Congressional,Province of Batangas,Municipality of Lemery,Barangay Bagong Sikat,13.8808834,120.9143641, -   , -   , -   , -   , -   , -   , -   ,30,30,30,30,40,40,200
Region IV-A (CALABARZON),409725,PHSCHOOL OF SAINTJOHN BOSCO INC.,Laguna,Liliw,Laguna,Liliw,Calumpang,14.1781,121.4214,8,8,5,10,5,5,6, -   , -   , -   , -   , -   , -   ,47
Region IV-A (CALABARZON),401603,Santa Teresa College,Batangas,Second District,Batnagas,Bauan,Poblacion 2,13.78966,121.00747,60,80,60,60,60,80,60,250,200,170,150,200,180,"1,610"
Region IV-A (CALABARZON),424571,Rabbi Excellent Christian School,Laguna,District 4,Laguna,Sta. Cruz,Bagumbayan,14265036,121398118,12,13,12,12,12,12,6, -   , -   , -   , -   , -   , -   ,79
Region IV-A (CALABARZON),410769,"INFOTECH COLLEGE OF ARTS & SCIENCES PHILIPPINES, INC.",Antipolo City,District 1,"Antipolo city , Rizal",Antipolo city,Mayamot,14.626043,121.145357, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,35,35,70
Region V,403673,La Consolacion College Baao,Camarines Sur,5TH DISTRICT,Province of Camarines Sur,MUnicipality of Baao,Barangay Sn. Ramon,13.45402,123.36699,35,35,35,35,40,40,40,42,43,44,44,35,35,503
Region V,403707,Colegio del Santisimo Rosario,Camarines Sur,2nd,Province of Camarines Sur,Municipality of Libmanan,Barangay Station-Church Site,13.692503,123.058918,20,40,40,40,40,40,40,140,140,140,140,160,160,"1,140"
Region IV-A (CALABARZON),402552,Blessed James Cusmano Academy,Laguna,Lone Diatrict,Province of Laguna,Municipality of Mabitac,Barangay San Antonio,14.45046,121.422437,3,3,4,4,3,3,5,19,23,22,27,20,19,155
Region IV-A (CALABARZON),402536,"Morning Star Montessori School, Inc.",Laguna,2nd District,Province of Laguna,Municipality od Los Baños,Barangay Putho-Tuntungin,14.153429,121.252383,20,20,26,26,25,25,25,25,25,25,25, -   , -   ,267
Region IX,404941,Islamic Institute of the Philippines,Zamboanga City,Lone District,Province of Zamboanga Del Sur ,City of Zamboanga City ,Barangay Rio Hondo,6.9004039,122.0849755,25,35,35,35,35,35,35,45,45,45,45,35,70,520
Region IV-A (CALABARZON),402535,"Franciscan Montessori School of Nativity-Los Banos, Inc.",Laguna,Los Baños,Province of Laguna,Municipality of Los Baños, Brgy. San Antonio,121.24435,14.173,20,18,19,16,12,20,18, -   , -   , -   , -   , -   , -   ,123
Region IV-A (CALABARZON),411234,AKAY LEARNING AND DEVELOPMENT CENTER INC.,Batangas,1st District,Province of Batangas,Municipality of Lian,Barabgay Binubusan,13.96257,120.63738,12, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12
Region IV-A (CALABARZON),409288,GOLD RICH LEARNING SCHOOL INC.,Laguna,Majayjay,Laguna,Majayjay,Villa Nogales ,14.00029,120.0784,3,3,3,1,1,3,3, -   , -   , -   , -   , -   , -   ,17
Region IV-A (CALABARZON),402406,Diamond Learning Center Inc.,Laguna,2nd District,Province of Laguna,Municipality of Bay,Barangay Masaya,14.1495,121.2739,15,17,15,15,15,15,15, -   , -   , -   , -   , -   , -   ,107
Region IV-A (CALABARZON),402413,Liceo de Bay,Laguna,District 2,Laguna,Municipality of Bay,San Agustin (Poblacion),14.1809,121.28409, -   , -   , -   , -   , -   , -   , -   ,170,170,170,170,130,130,940
Region V,410863,"SPJ International Technology Institute, Inc.",Camarines Sur,Del Gallego ,Camarines Sur ,Del Gallego ,Sinuknipan I ,13.9338121,122.6690212, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,43,25,68
Region IV-A (CALABARZON),423538,Marfeben Academy Inc.,Batangas,4th ,Batangas ,Ibaan ,Poblacion,1457929,12106494,30,50,50,50,50,50,50, -   , -   , -   , -   , -   , -   ,330
Region IX,402425,Lucan Central Colleges,Pagadian City,1ST DISTRICT,PROVINCE OF ZAMBOANGA DEL SUR,CITY OF PAGADIAN,BARANGAY SAN FRANCISCO,7.85958,123.41608, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,80,200,280
Region V,433584,Fortunate Rays Learning Center,Camarines Sur,Libmanan,Province of Camarines Sur,Municipality of Libmanan ,Barangay Station Church Site ,13.69352,123.057,15,15,15,15,15,15,15, -   , -   , -   , -   , -   , -   ,105
Region IV-A (CALABARZON),401561,Immaculate Concepcion College,Batangas,Lone District,Batangas,Balayan,4,13.938426,120.728808,15,20,20,25,35,35,35,35,35,35,35,40,40,405
Region IX,458501,Pagadian Capitol College,Pagadian City,1st,Zamboanga del Sur,Pagadian City,Tuburan District ,7.83373,123.44748, -   , -   , -   , -   , -   , -   , -   ,50,46,35,45,115,85,376
Region IX,456524,Payao Alliance Kindergarten School,Zamboanga Sibugay,Payao District ,Zamboanga Sibugay ,Payao,Poblacion ,1457929,12106494,24, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,24
Region IX,458508,"Fernandez Pre-School and Learning Center, Inc.",Dapitan City,District 1 ,Province of Zamboanga del Norte,City of Dapitan,Barangay Banonong,8.650551856,123.425096,12,12,12,9,8,5,3, -   , -   , -   , -   , -   , -   ,61
Region IX,404922,"Southern Mindanao College, Inc.",Pagadian City,1st District,Province of Zamboanga del Sur,City of Pagadian,Barangay Gatas,7.809619,123.404698,25,35,35,35,35,35,35,120,120,120,120,250,250,"1,215"
Region IV-A (CALABARZON),402407,Escuela de Brigada Montessori Inc.,Laguna,Second District,Laguna,Bay,San agustin,14.18096,121.28278,9,10,9,9,8,7,9,3,1, -   , -   , -   , -   ,65
Region IX,404885,Malangas Institute,Zamboanga Sibugay,District 1,Zamboanga Sibugay Province,MALANGAS,Poblacion,7.63,123.03, -   , -   , -   , -   , -   , -   , -   ,40,40,40,40,40,40,240
Region IV-A (CALABARZON),402157,ANGELITA V. DEL MUNDO FOUNDATION (AVM FOUNDATION) INC.,Laguna,4th District ,Province of Laguna,Municipality of Pagsanjan,Barangay Poblacion Dos,14.273045,121.454877, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,249,249,498
Region IV-A (CALABARZON),424577,Southbay Montessori School,Laguna,4th District,Laguna,Santa Cruz,Pagsawitan,14.268229,121.423641,30,30,30,30,60,30,30,35,35,35,35,210,175,765
Region IV-A (CALABARZON),402408,Fr. Angelico Lipani School Inc.,Laguna,DISTRICT 2,PROVINCE OF LAGUA,MUNICIPALITY OF BAY,BARANGAY  MASAYA,14.143545,121.275327,7,7,7,12,5,6,1, -   , -   , -   , -   , -   , -   ,45
Region V,403587,Ligao Adventist Elementary School Inc.,Ligao City,Third District ,Province of Albay ,City of Ligao ,Barangay Tuburan ,13.237694,123.550154,6,11,11,8,8,14,14, -   , -   , -   , -   , -   , -   ,72
Region V,437511,Tabaco College,Tabaco City,First,Province of Albay,City of Tabaco,San Juan ,13.3568406,123.7260586,15,15,15,15,15,15,15,20,20,20,20,30,30,245
Region V,403865,Jumels Learning Center,Naga City,Third District,Province of Camarines Sur,City of Naga,Barangay Bagumbayan Sur,13.6321025,123.1892439,20, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
Region IX,409384,"Our Lady of Triumph Institute of Technology, Inc.",Pagadian City,Balangasan District,Zamboanga del Sur,City of Pagadian,Barangay Balangasan,7.8397,123.4343, -   , -   , -   , -   , -   , -   , -   ,80,40,40,40,160,240,600
Region IX,402550,Philippine Technological and Marine Sciences,Pagadian City,1,Province of Zamboanga del Sur,City of Pagadian ,Balangasan,7.492937,123.253264, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,160,160,320
Region IV-A (CALABARZON),411051,BRYT ACADEMY OF LAGUNA INC.,Laguna,4th district,Province of Launa,Municipality of Siniloan,Barangay Halayhayin,14.4280877,121.453136,35,30,30,20,20,25,20, -   , -   , -   , -   , -   , -   ,180
Region IV-A (CALABARZON),423602,Santo Augustino Academy Inc.,Batangas,3rd District,Province of Batangas,Municipality of Talisay,Barangay Leynes,14.08834,120.98142,16,13,14,6,9,14,7, -   , -   , -   , -   , -   , -   ,79
Region IX,409816,"Asia's Latin Institute, Inc.",Zamboanga City,1,Zamboanga del sur,City of zamboanga,Barangay zone ll,6.90591,122.07695, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,107,145,252
Region IX,456522,Pilgrim Baptist Preschool,Zamboanga Sibugay,Ipil,Zamboanga Sibugay ,Ipil,Pangi,7.8019145,122.6108866,20, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
Region IX,457513,"Smartchild Development and Play Center, Inc.",Dipolog City,Dipolog,Zamboanga del Norte,Dipolog City,"Sta, Filomena",8,123,3,4,4,1,1,1,4, -   , -   , -   , -   , -   , -   ,18
Region IX,410936,"Titay Baptist Christian Academy, Inc.",Zamboanga Sibugay,2nd District,Zamboanga Sibugay,Titay,Poblacion,7.874998,122.56022,30, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30
Region IX,455517,Higher Ground Baptist School,Zamboanga del Norte,District 1,Province of zamboanga del norte ,Municipality of Liloy,Fatima ,8.0416,122.5684,56,32,18,24,5, -   , -   , -   , -   , -   , -   , -   , -   ,135
Region IX,404920,"Pagadian Junior College (PJC), Inc.",Pagadian City,FIRST DISTRICT,PROVINCE OF ZAMBOANGA DEL SUR,CITY OF PAGADIAN CITY,BARANGAY BALANGASAN,7.826284174,123.4321218, -   , -   , -   , -   , -   , -   , -   ,225,180,180,180,235,250,"1,250"
Region IX,455515,Jewels Christian Baptist Kindergarten School,Zamboanga del Norte,District 2,Zamboanga del Norte ,Salug ,Poblacion East ,7,9,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
Region IX,404904,Saint Mary's Academy of Dipolog Inc.,Dipolog City,2nd District ,Province of Zamboanga del Norte,City of Dipolog,Barangay Central,8.585317,123.345483,20,35,35,35,35,35,35,70,70,70,70, -   , -   ,510
Region IX,404901,Dipolog Rose Basic Learning School,Dipolog City,District,Province Of Zambo. Del Norte,Dipolog City,Estaka,8.586845,123.348026,20,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30
